empty08	2	1	0	CBSTU	13	0.0003685951232910156
empty08	2	1	1	CBSTU	18	0.0004355907440185547
empty08	2	1	2	CBSTU	19	0.0003826618194580078
empty08	2	1	3	CBSTU	12	0.0002677440643310547
empty08	2	1	4	CBSTU	9	0.0006272792816162109
empty16	2	1	0	CBSTU	20	0.0004961490631103516
empty16	2	1	1	CBSTU	35	0.0007927417755126953
empty16	2	1	2	CBSTU	37	0.0006949901580810547
empty16	2	1	3	CBSTU	23	0.0005123615264892578
empty16	2	1	4	CBSTU	18	0.00041031837463378906
empty24	2	1	0	CBSTU	49	0.0012543201446533203
empty24	2	1	1	CBSTU	45	0.0008878707885742188
empty24	2	1	2	CBSTU	34	0.0007910728454589844
empty24	2	1	3	CBSTU	38	0.0016760826110839844
empty24	2	1	4	CBSTU	53	0.0034105777740478516
random08	2	1	0	CBSTU	24	0.0018069744110107422
random08	2	1	1	CBSTU	18	0.0006272792816162109
random08	2	1	2	CBSTU	5	0.00018215179443359375
random08	2	1	3	CBSTU	11	0.00041675567626953125
random08	2	1	4	CBSTU	12	0.0002396106719970703
random16	2	1	0	CBSTU	25	0.0005383491516113281
random16	2	1	1	CBSTU	38	0.0007147789001464844
random16	2	1	2	CBSTU	25	0.00041937828063964844
random16	2	1	3	CBSTU	23	0.0008711814880371094
random16	2	1	4	CBSTU	35	0.0006763935089111328
random24	2	1	0	CBSTU	47	0.0016031265258789062
random24	2	1	1	CBSTU	52	0.0027780532836914062
random24	2	1	2	CBSTU	22	0.0007433891296386719
random24	2	1	3	CBSTU	47	0.0008940696716308594
random24	2	1	4	CBSTU	51	0.0009105205535888672
empty08	4	1	0	CBSTU	29	0.0027282238006591797
empty08	4	1	1	CBSTU	30	0.0016655921936035156
empty08	4	1	2	CBSTU	36	0.0015728473663330078
empty08	4	1	3	CBSTU	33	0.0022852420806884766
empty08	4	1	4	CBSTU	27	0.0060307979583740234
empty16	4	1	0	CBSTU	49	0.002586841583251953
empty16	4	1	1	CBSTU	58	0.0022945404052734375
empty16	4	1	2	CBSTU	62	0.0010132789611816406
empty16	4	1	3	CBSTU	63	0.0010426044464111328
empty16	4	1	4	CBSTU	53	0.0052378177642822266
empty24	4	1	0	CBSTU	86	0.001750946044921875
empty24	4	1	1	CBSTU	90	0.0017061233520507812
empty24	4	1	2	CBSTU	85	0.001712799072265625
empty24	4	1	3	CBSTU	88	0.001773834228515625
empty24	4	1	4	CBSTU	84	0.015795469284057617
random08	4	1	0	CBSTU	39	0.0022313594818115234
random08	4	1	1	CBSTU	33	0.0005693435668945312
random08	4	1	2	CBSTU	19	0.0007085800170898438
random08	4	1	3	CBSTU	37	0.04020333290100098
random08	4	1	4	CBSTU	29	0.002852201461791992
random16	4	1	0	CBSTU	47	0.0008730888366699219
random16	4	1	1	CBSTU	60	0.0009708404541015625
random16	4	1	2	CBSTU	49	0.0011684894561767578
random16	4	1	3	CBSTU	60	0.002119302749633789
random16	4	1	4	CBSTU	58	0.0008833408355712891
random24	4	1	0	CBSTU	94	0.0017237663269042969
random24	4	1	1	CBSTU	101	0.0016150474548339844
random24	4	1	2	CBSTU	74	0.0019276142120361328
random24	4	1	3	CBSTU	74	0.0016884803771972656
random24	4	1	4	CBSTU	92	0.1894826889038086
empty08	6	1	0	CBSTU	48	0.005159854888916016
empty08	6	1	1	CBSTU	42	0.010051965713500977
empty08	6	1	2	CBSTU	54	0.002007722854614258
empty08	6	1	3	CBSTU	52	0.01356053352355957
empty08	6	1	4	CBSTU	44	0.012488603591918945
empty16	6	1	0	CBSTU	94	0.004342555999755859
empty16	6	1	1	CBSTU	82	0.004667520523071289
empty16	6	1	2	CBSTU	94	0.001718759536743164
empty16	6	1	3	CBSTU	90	0.02502131462097168
empty16	6	1	4	CBSTU	75	0.003545999526977539
empty24	6	1	0	CBSTU	131	0.026370763778686523
empty24	6	1	1	CBSTU	121	0.004791975021362305
